group1,group2,paper_mean_diff,paper_p,paper_reject,ours_mean_diff,ours_p,ours_reject,Metric,LT,Significance agreement
LightGBM - H-step,LightGBM - One-step,-0.0508,0.0096,True,-0.0746,0.0,True,Average OFR,10,True
LightGBM - H-step,MA - One-step,-0.0583,0.0018,True,-0.0777,0.0,True,Average OFR,10,True
LightGBM - One-step,MA - One-step,-0.0075,0.9952,False,-0.0031,0.9999,False,Average OFR,10,True
ES - One-step,LSTM - H-step,-0.6158,0.0029,True,-0.8133,0.0,True,Variance of inventory,2,True
ES - One-step,LSTM - One-step,-0.7008,0.0005,True,-0.6477,0.0011,True,Variance of inventory,2,True
ES - One-step,LightGBM - H-step,-0.46,0.0516,False,-0.7931,0.0,True,Variance of inventory,2,False
ES - One-step,LightGBM - One-step,-0.3367,0.2806,False,-0.4805,0.0314,True,Variance of inventory,2,False
ES - One-step,MA - One-step,0.2342,0.6732,False,0.2382,0.6384,False,Variance of inventory,2,True
LSTM - H-step,LSTM - One-step,-0.085,0.9943,False,0.1656,0.8904,False,Variance of inventory,2,True
LSTM - H-step,LightGBM - H-step,0.1558,0.9196,False,0.0203,1.0,False,Variance of inventory,2,True
LSTM - H-step,LightGBM - One-step,0.2792,0.4896,False,0.3329,0.2723,False,Variance of inventory,2,True
LSTM - H-step,MA - One-step,0.85,0.0,True,1.0515,0.0,True,Variance of inventory,2,True
LSTM - One-step,LightGBM - H-step,0.2408,0.6465,False,-0.1453,0.9341,False,Variance of inventory,2,True
LSTM - One-step,LightGBM - One-step,0.3642,0.2034,False,0.1673,0.8863,False,Variance of inventory,2,True
LSTM - One-step,MA - One-step,0.935,0.0,True,0.8859,0.0,True,Variance of inventory,2,True
LightGBM - H-step,LightGBM - One-step,0.1233,0.9694,False,0.3126,0.3397,False,Variance of inventory,2,True
LightGBM - H-step,MA - One-step,0.6942,0.0005,True,1.0312,0.0,True,Variance of inventory,2,True
LightGBM - One-step,MA - One-step,0.5708,0.0071,True,0.7186,0.0002,True,Variance of inventory,2,True
ES - One-step,LSTM - H-step,-50.44,0.0,True,-49.1107,0.0,True,Variance of inventory,10,True
ES - One-step,LSTM - One-step,-9.0075,0.7455,False,-6.5015,0.8915,False,Variance of inventory,10,True
ES - One-step,LightGBM - H-step,-48.6683,0.0,True,-49.5264,0.0,True,Variance of inventory,10,True
ES - One-step,LightGBM - One-step,-10.7392,0.5812,False,-2.0588,0.9994,False,Variance of inventory,10,True
ES - One-step,MA - One-step,-3.7008,0.9931,False,-2.976,0.9964,False,Variance of inventory,10,True
LSTM - H-step,LSTM - One-step,41.4325,0.0,True,42.6092,0.0,True,Variance of inventory,10,True
LSTM - H-step,LightGBM - H-step,1.7717,0.9998,False,-0.4156,1.0,False,Variance of inventory,10,True
LSTM - H-step,LightGBM - One-step,39.7008,0.0,True,47.052,0.0,True,Variance of inventory,10,True
LSTM - H-step,MA - One-step,46.7392,0.0,True,46.1348,0.0,True,Variance of inventory,10,True
LSTM - One-step,LightGBM - H-step,-39.6608,0.0,True,-43.0248,0.0,True,Variance of inventory,10,True
LSTM - One-step,LightGBM - One-step,-1.7317,0.9998,False,4.4428,0.9773,False,Variance of inventory,10,True
LSTM - One-step,MA - One-step,5.3067,0.9654,False,3.5256,0.992,False,Variance of inventory,10,True
LightGBM - H-step,LightGBM - One-step,37.9292,0.0,True,47.4676,0.0,True,Variance of inventory,10,True
LightGBM - H-step,MA - One-step,44.9675,0.0,True,46.5504,0.0,True,Variance of inventory,10,True
LightGBM - One-step,MA - One-step,7.0383,0.8918,False,-0.9172,1.0,False,Variance of inventory,10,True
