Method,Horizon,CV Group,LT,AR_ours,VI_ours,OFR_ours,BO_ours,EI_ours,AR_paper,OFR_paper,VI_paper,BO_paper,EI_paper,AR_error,OFR_error,VI_error,BO_error,EI_error
MA,One-step,0.4 < CV ≤ 0.6,2,1.2210808992385864,1.1482396125793457,0.8679441213607788,4.8202595710754395,10.321305274963379,1.38,0.9,1.3,4.44,13.36,0.11515876866769093,0.32055878639221214,0.1167387595543495,0.0856440475395133,0.22744720995783088
MA,One-step,0.4 < CV ≤ 0.6,10,7.825796127319336,29.849695205688477,0.862653374671936,4.391997337341309,66.87126922607422,7.26,0.87,30.34,5.19,73.18,0.07793335087043197,0.0734662532806396,0.016160342594315206,0.1537577384698828,0.08620840084621191
LightGBM,One-step,0.2 < CV ≤ 0.3,2,1.1551400423049927,0.5876361131668091,0.9148950576782227,8.425137519836426,10.198223114013672,3.12,0.94,2.05,10.74,36.46,0.629762806953528,0.2510494232177729,0.7133482374796053,0.21553654377686912,0.7202900956112542
LightGBM,One-step,0.2 < CV ≤ 0.3,10,17.850366592407227,26.990285873413086,0.8829190135002136,11.140464782714844,117.12479400634766,27.88,0.93,42.83,12.09,254.57,0.35974294862240935,0.47080986499786426,0.3698275537377285,0.0785388930756953,0.5399112463905894
LightGBM,One-step,0.3 < CV ≤ 0.4,2,0.9797641634941101,0.8790416717529297,0.8992620706558228,6.627182483673096,9.942720413208008,2.57,0.91,1.74,6.66,21.73,0.6187688079789455,0.10737929344177277,0.49480363692360363,0.004927555004039705,0.5424426869209384
LightGBM,One-step,0.3 < CV ≤ 0.4,10,11.961318016052246,25.000621795654297,0.880388617515564,7.6144938468933105,99.49806213378906,17.86,0.92,30.13,5.68,140.67,0.33027334736549574,0.39611382484436075,0.17024156005130112,0.3405799026220618,0.2926845657653439
LightGBM,One-step,0.4 < CV ≤ 0.6,2,0.7384878396987915,0.6810394525527954,0.8681300282478333,4.827798366546631,6.089108467102051,2.08,0.9,1.35,4.4,13.0,0.644957769375581,0.3186997175216677,0.4955263314423738,0.09722690148787057,0.53160704099215
LightGBM,One-step,0.4 < CV ≤ 0.6,10,7.547357559204102,18.1076717376709,0.8552516102790833,4.890243053436279,49.178245544433594,11.42,0.9,24.28,4.48,79.19,0.33911054647950073,0.4474838972091677,0.25421450833315906,0.09157211014202653,0.3789841451643693
LightGBM,H-step,0.2 < CV ≤ 0.3,2,0.814769446849823,0.499277800321579,0.9220937490463257,7.552083492279053,8.816400527954102,3.58,0.94,2.39,9.62,44.69,0.7724107690363623,0.17906250953674263,0.7910971546771636,0.21496013593772834,0.8027209548455112
LightGBM,H-step,0.2 < CV ≤ 0.3,10,3.890063524246216,10.285658836364746,0.9132683873176575,8.352478981018066,46.15046310424805,5.48,0.95,15.31,7.96,130.13,0.2901343933857271,0.36731612682342485,0.3281738186567769,0.04930640465051086,0.6453510865730573
LightGBM,H-step,0.3 < CV ≤ 0.4,2,0.7523690462112427,0.770250678062439,0.9035346508026123,6.158202171325684,8.943120002746582,2.8,0.92,2.01,6.66,24.81,0.7312967692102704,0.16465349197387735,0.6167907074316223,0.07534501932046794,0.6395356709896581
LightGBM,H-step,0.3 < CV ≤ 0.4,10,2.786997079849243,13.469536781311035,0.895012617111206,6.4476637840271,44.965457916259766,4.5,0.93,12.63,5.4,68.8,0.3806673155890571,0.34987382888793994,0.06647163747514127,0.19401181185687022,0.3464322977287824
LightGBM,H-step,0.4 < CV ≤ 0.6,2,0.5831332802772522,0.6107878088951111,0.8726201057434082,4.682727336883545,5.765888690948486,2.11,0.89,1.42,5.09,13.99,0.7236335164562786,0.1737989425659181,0.5698677402147104,0.08001427566138604,0.5878564195176207
LightGBM,H-step,0.4 < CV ≤ 0.6,10,2.1034348011016846,9.135441780090332,0.8680952191352844,4.493143558502197,26.335617065429688,4.48,0.89,12.78,4.67,49.27,0.5304833033255169,0.2190478086471559,0.28517669952344815,0.03787075835070721,0.46548372101827307
LSTM,One-step,0.2 < CV ≤ 0.3,2,1.5167039632797241,0.7171154618263245,0.9245548844337463,7.208367347717285,11.968165397644043,2.77,0.95,2.13,9.3,39.11,0.4524534428593054,0.2544511556625362,0.6633260742599415,0.22490673680459305,0.6939870775340311
LSTM,One-step,0.2 < CV ≤ 0.3,10,20.445093154907227,30.10316276550293,0.8969429731369019,9.995636940002441,128.7867431640625,25.23,0.94,45.06,10.68,270.73,0.18965148018599975,0.4305702686309809,0.3319315853195089,0.06407893820201857,0.5242982190224117
LSTM,One-step,0.3 < CV ≤ 0.4,2,1.3534752130508423,0.8193942904472351,0.8222031593322754,8.10837173461914,10.603764533996582,2.06,0.92,1.57,6.42,21.73,0.3429731975481348,0.9779684066772465,0.47809280863233433,0.2629862514983085,0.5120218806260202
LSTM,One-step,0.3 < CV ≤ 0.4,10,13.482810974121094,26.599533081054688,0.8207530379295349,8.316912651062012,109.35726928710938,13.59,0.92,26.93,5.62,138.21,0.007887345539286689,0.9924696207046513,0.01227133007594921,0.4798776959185074,0.20876008040583627
LSTM,One-step,0.4 < CV ≤ 0.6,2,1.316974401473999,0.8679075837135315,0.7939007878303528,5.681112766265869,7.486697196960449,1.66,0.91,1.24,4.28,12.44,0.20664192682289212,1.1609921216964725,0.30007452926328104,0.3273627958565114,0.398175466482279
LSTM,One-step,0.4 < CV ≤ 0.6,10,10.616507530212402,27.75005531311035,0.803127646446228,5.096463203430176,64.77412414550781,8.85,0.9,22.61,4.56,72.2,0.19960537064546924,0.96872353553772,0.22733548487883026,0.11764543934872286,0.10285146612870069
LSTM,H-step,0.2 < CV ≤ 0.3,2,0.967965304851532,0.5821412801742554,0.9377614259719849,6.03996467590332,11.379979133605957,2.56,0.96,2.37,6.43,53.72,0.6218885527923703,0.222385740280151,0.754370767858964,0.06065868181907923,0.7881612223826143
LSTM,H-step,0.2 < CV ≤ 0.3,10,4.682808876037598,12.680511474609375,0.9289237260818481,6.496938705444336,57.21500778198242,3.82,0.96,13.08,7.08,123.28,0.22586619791560153,0.3107627391815182,0.030541936191943814,0.08235329019147798,0.5358938369404411
LSTM,H-step,0.3 < CV ≤ 0.4,2,0.8447931408882141,0.5931440591812134,0.830880343914032,7.965719699859619,8.802931785583496,1.92,0.94,1.72,5.29,26.41,0.5600035724540552,1.0911965608596796,0.6551488028016201,0.5058071266275272,0.6666818710494701
LSTM,H-step,0.3 < CV ≤ 0.4,10,3.6111867427825928,12.478971481323242,0.8139629364013672,8.47072982788086,48.88547134399414,3.12,0.94,10.81,5.0,66.65,0.15743164832775405,1.2603706359863276,0.1543914413805034,0.6941459655761719,0.2665345634809582
