Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
ES,One-step,0.3 < CV ≤ 0.4,8,11.452729225158691,22.58807945251465,0.8803645372390747,6.974020004272461,87.3068618774414
ES,One-step,0.3 < CV ≤ 0.4,9,12.76739501953125,29.407747268676758,0.8825939297676086,7.408977508544922,105.24081420898438
ES,One-step,0.3 < CV ≤ 0.4,10,14.762911796569824,38.415138244628906,0.8821924328804016,7.370779037475586,124.02938079833984
ES,One-step,0.4 < CV ≤ 0.6,2,1.9036152362823486,1.3162418603897095,0.8639314770698547,4.817382335662842,10.832842826843262
ES,One-step,0.4 < CV ≤ 0.6,3,3.2028326988220215,3.2576613426208496,0.8513681888580322,5.071940898895264,18.426807403564453
ES,One-step,0.4 < CV ≤ 0.6,4,4.6378021240234375,6.389510631561279,0.8446267247200012,5.031123638153076,27.089353561401367
ES,One-step,0.4 < CV ≤ 0.6,5,6.197730541229248,10.095564842224121,0.8482000231742859,4.6388959884643555,35.014503479003906
ES,One-step,0.4 < CV ≤ 0.6,6,7.569210529327393,13.502490997314453,0.8578046560287476,4.14717960357666,41.241031646728516
ES,One-step,0.4 < CV ≤ 0.6,7,8.745370864868164,17.14964485168457,0.8686058521270752,3.929413080215454,47.774932861328125
ES,One-step,0.4 < CV ≤ 0.6,8,9.856508255004883,22.435928344726562,0.8765672445297241,3.9440789222717285,56.16570281982422
ES,One-step,0.4 < CV ≤ 0.6,9,11.013845443725586,29.097251892089844,0.8804053664207458,4.0085225105285645,66.65416717529297
ES,One-step,0.4 < CV ≤ 0.6,10,12.434849739074707,37.0608024597168,0.880897581577301,3.950977325439453,77.43128967285156
MA,One-step,0.2 < CV ≤ 0.3,2,1.3438881635665894,1.1854878664016724,0.9059833288192749,9.711187362670898,19.14349365234375
MA,One-step,0.2 < CV ≤ 0.3,3,2.217444658279419,2.5911240577697754,0.8969327211380005,10.672374725341797,31.437700271606445
MA,One-step,0.2 < CV ≤ 0.3,4,3.6221072673797607,5.102822780609131,0.8829326629638672,11.196004867553711,44.31974792480469
MA,One-step,0.2 < CV ≤ 0.3,5,6.397911071777344,9.219441413879395,0.8683518767356873,11.372145652770996,57.716182708740234
MA,One-step,0.2 < CV ≤ 0.3,6,8.534168243408203,12.681061744689941,0.8707556128501892,10.778139114379883,69.8973159790039
MA,One-step,0.2 < CV ≤ 0.3,7,9.620011329650879,15.87277603149414,0.8798534870147705,10.362756729125977,79.07694244384766
MA,One-step,0.2 < CV ≤ 0.3,8,10.287402153015137,20.78057861328125,0.8845422267913818,10.799771308898926,92.96837615966797
MA,One-step,0.2 < CV ≤ 0.3,9,11.341572761535645,27.380800247192383,0.8829800486564636,11.493578910827637,111.09620666503906
MA,One-step,0.2 < CV ≤ 0.3,10,13.33906078338623,35.37355041503906,0.8765018582344055,11.791438102722168,129.5123291015625
MA,One-step,0.3 < CV ≤ 0.4,2,1.2555011510849,1.3172526359558105,0.8893283605575562,7.815356731414795,17.230424880981445
MA,One-step,0.3 < CV ≤ 0.4,3,1.968113899230957,2.851802110671997,0.8785904049873352,8.518961906433105,28.26117515563965
MA,One-step,0.3 < CV ≤ 0.4,4,3.1372992992401123,5.430822372436523,0.8614271283149719,8.724152565002441,39.3914909362793
MA,One-step,0.3 < CV ≤ 0.4,5,5.101349353790283,9.13034725189209,0.8500925898551941,8.341726303100586,50.732479095458984
MA,One-step,0.3 < CV ≤ 0.4,6,6.361860752105713,12.202176094055176,0.8587685227394104,7.471773624420166,59.88932800292969
MA,One-step,0.3 < CV ≤ 0.4,7,7.116647720336914,15.488457679748535,0.8695344924926758,7.185616493225098,68.13507843017578
MA,One-step,0.3 < CV ≤ 0.4,8,7.6014723777771,20.03526496887207,0.8754816651344299,7.627109050750732,81.1771469116211
MA,One-step,0.3 < CV ≤ 0.4,9,8.388453483581543,25.8403377532959,0.8746605515480042,8.059120178222656,96.44844818115234
MA,One-step,0.3 < CV ≤ 0.4,10,9.726263046264648,32.08208084106445,0.8702306151390076,7.974549293518066,109.59264373779297
MA,One-step,0.4 < CV ≤ 0.6,2,1.2210808992385864,1.1482396125793457,0.8679441213607788,4.8202595710754395,10.321305274963379
MA,One-step,0.4 < CV ≤ 0.6,3,1.9045066833496094,2.4691970348358154,0.8572068214416504,4.930047035217285,16.3195743560791
MA,One-step,0.4 < CV ≤ 0.6,4,2.7275705337524414,4.555385589599609,0.8431850671768188,4.975342273712158,22.805191040039062
MA,One-step,0.4 < CV ≤ 0.6,5,4.080424785614014,7.596546173095703,0.8408486247062683,4.714834213256836,29.780839920043945
MA,One-step,0.4 < CV ≤ 0.6,6,4.95973014831543,10.58594799041748,0.8502763509750366,4.321845531463623,35.64506149291992
MA,One-step,0.4 < CV ≤ 0.6,7,5.569743633270264,14.027752876281738,0.8593742847442627,4.235201835632324,41.99354553222656
MA,One-step,0.4 < CV ≤ 0.6,8,6.159213066101074,18.444610595703125,0.8654494881629944,4.373539924621582,49.93028259277344
MA,One-step,0.4 < CV ≤ 0.6,9,6.883406639099121,23.539173126220703,0.8662847280502319,4.4448628425598145,58.303260803222656
MA,One-step,0.4 < CV ≤ 0.6,10,7.825796127319336,29.849695205688477,0.862653374671936,4.391997337341309,66.87126922607422
LightGBM,One-step,0.2 < CV ≤ 0.3,2,1.1551400423049927,0.5876361131668091,0.9148950576782227,8.425137519836426,10.198223114013672
LightGBM,One-step,0.2 < CV ≤ 0.3,3,2.605311632156372,1.8564472198486328,0.8980386257171631,10.373169898986816,21.247867584228516
LightGBM,One-step,0.2 < CV ≤ 0.3,4,4.216049671173096,4.119143962860107,0.8861842751502991,11.732172012329102,35.35552978515625
LightGBM,One-step,0.2 < CV ≤ 0.3,5,7.797956943511963,9.68107795715332,0.8680176734924316,13.938493728637695,63.5325927734375
LightGBM,One-step,0.2 < CV ≤ 0.3,6,10.954093933105469,15.2784423828125,0.850419819355011,13.738838195800781,82.45829010009766
LightGBM,One-step,0.2 < CV ≤ 0.3,7,12.947787284851074,16.708032608032227,0.845736026763916,12.932676315307617,84.92839813232422
LightGBM,One-step,0.2 < CV ≤ 0.3,8,14.146366119384766,16.79741096496582,0.8632608652114868,11.467033386230469,84.7790298461914
