series_id,Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
FOODS_3_739__CA,LSTM,One-step,0.3 < CV ≤ 0.4,6,6.545547962188721,19.223846435546875,0.8367316126823425,12.466508865356445,121.80872344970703
FOODS_3_477__TX,LSTM,One-step,0.3 < CV ≤ 0.4,6,5.243083477020264,7.7091450691223145,0.8794977068901062,1.9151203632354736,13.79509162902832
FOODS_3_458__CA,LSTM,One-step,0.3 < CV ≤ 0.4,6,7.164850234985352,8.328421592712402,0.8402707576751709,5.748772144317627,27.41025733947754
HOUSEHOLD_1_429__TX,LSTM,One-step,0.3 < CV ≤ 0.4,6,0.6451075077056885,0.1133459061384201,0.3000023066997528,13.005597114562988,0.3183525502681732
FOODS_3_226__TX,LSTM,One-step,0.3 < CV ≤ 0.4,6,9.28757381439209,11.895898818969727,0.8080799579620361,8.617335319519043,41.06599426269531
FOODS_2_181__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,6.578367233276367,11.023200988769531,0.8661853671073914,4.918257713317871,36.3551139831543
FOODS_3_377__WI,LSTM,One-step,0.3 < CV ≤ 0.4,7,9.275185585021973,13.131795883178711,0.8771233558654785,2.3615760803222656,23.001543045043945
FOODS_3_714__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,11.95881462097168,15.255948066711426,0.8301309943199158,11.939214706420898,113.29014587402344
FOODS_3_697__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,10.234540939331055,11.236541748046875,0.8143953680992126,5.773339748382568,31.644479751586914
FOODS_3_080__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,12.26598834991455,14.837258338928223,0.8823720216751099,4.380758762359619,36.071224212646484
FOODS_3_499__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,5.253032684326172,7.692352771759033,0.8043273091316223,12.675827026367188,64.87010955810547
HOUSEHOLD_1_110__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,8.717419624328613,23.72036361694336,0.7456052899360657,11.056205749511719,60.445343017578125
FOODS_3_288__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,7.906055927276611,23.45606803894043,0.8785896897315979,9.573192596435547,161.5265350341797
FOODS_3_252__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,11.414091110229492,14.1947603225708,0.8306834697723389,20.261188507080078,171.80435180664062
HOUSEHOLD_1_110__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,14.812631607055664,35.36378860473633,0.8399519324302673,6.027653217315674,85.45209503173828
FOODS_3_228__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,11.783180236816406,14.797398567199707,0.8696324825286865,3.310399293899536,31.895944595336914
HOUSEHOLD_1_429__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,1.4399440288543701,0.5920286178588867,0.27675747871398926,16.484621047973633,1.539794921875
FOODS_3_555__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,19.862070083618164,25.194929122924805,0.8705655932426453,12.33745002746582,138.462646484375
FOODS_3_252__TX,LSTM,One-step,0.3 < CV ≤ 0.4,7,12.355687141418457,15.374733924865723,0.8502886295318604,18.435461044311523,183.1825714111328
FOODS_3_739__CA,LSTM,One-step,0.3 < CV ≤ 0.4,7,7.600040435791016,23.458436965942383,0.8378310203552246,11.404521942138672,133.90684509277344
