Metric,LT,Group 1,Group 2,ours_p,paper_p,significance_agreement,ours_diff,paper_diff
AR,2,LightGBM - H-step,LightGBM - One-step,0.0045,0.49,False,0.2271,0.21
AR,10,LightGBM - H-step,LightGBM - One-step,0.0,0.0,True,8.9054,-13.09
EI,2,LightGBM - H-step,LightGBM - One-step,0.9949,0.99,True,0.8343,-3.52
EI,10,LightGBM - H-step,LightGBM - One-step,0.0061,0.13,False,46.4364,68.54
OFR,2,LightGBM - H-step,LightGBM - One-step,0.9999,1.0,True,-0.0051,0.0
OFR,10,LightGBM - H-step,LightGBM - One-step,0.9589,0.95,True,-0.0177,0.0
VI,2,LightGBM - H-step,LightGBM - One-step,0.8545,0.36,True,0.0892,-0.22
VI,10,LightGBM - H-step,LightGBM - One-step,0.0,0.0,True,11.8004,17.62
AR,2,LightGBM - H-step,MA - One-step,0.0,0.0,True,0.5606,1.29
AR,10,LightGBM - H-step,MA - One-step,0.0,0.0,True,7.0792,-4.89
EI,2,LightGBM - H-step,MA - One-step,0.0001,1.0,False,7.3587,-2.18
EI,10,LightGBM - H-step,MA - One-step,0.0001,0.66,False,59.9687,41.18
OFR,2,LightGBM - H-step,MA - One-step,0.9948,1.0,True,-0.011,0.0
OFR,10,LightGBM - H-step,MA - One-step,0.9278,0.0,False,-0.0203,-0.04
VI,2,LightGBM - H-step,MA - One-step,0.0,0.0,True,0.5768,-0.44
VI,10,LightGBM - H-step,MA - One-step,0.0,0.0,True,20.9653,17.32
AR,2,LightGBM - One-step,MA - One-step,0.0,0.0,True,0.3335,1.08
AR,10,LightGBM - One-step,MA - One-step,0.2386,0.0,False,-1.8262,8.2
EI,2,LightGBM - One-step,MA - One-step,0.0006,1.0,False,6.5244,1.34
EI,10,LightGBM - One-step,MA - One-step,0.907,0.92,True,13.5323,-27.37
OFR,2,LightGBM - One-step,MA - One-step,0.9997,0.97,True,-0.006,0.0
OFR,10,LightGBM - One-step,MA - One-step,1.0,0.0,False,-0.0026,-0.04
VI,2,LightGBM - One-step,MA - One-step,0.0,0.29,False,0.4875,-0.23
VI,10,LightGBM - One-step,MA - One-step,0.0002,1.0,False,9.1649,-0.3
